benchmark,methods,pop_size,generations,run ke-1,run ke-2,run ke-3,run ke-4,run ke-5,run ke-6,run ke-7,run ke-8,run ke-9,run ke-10,run ke-11,run ke-12,run ke-13,run ke-14,run ke-15,run ke-16,run ke-17,run ke-18,run ke-19,run ke-20
X-n106-k14,CARI,50,1,56248.41923,55517.47692,55695.09231,56065.7,56039.40577,55950.27115,56399.00769,55983.37308,56175.52115,55881.11346,55986.75,56023.18269,55809.63654,55940.19038,55513.84038,55898.56731,55849.73269,56599.14231,55760.96154,56635.78462
X-n106-k14,CARI,50,2,54495.58077,53659.95962,54162.96346,54219.44808,54205.64615,54254.50192,54662.84231,53916.61538,54551.04231,54383.05385,54269.40962,54083.89423,54084.01731,53962.25385,53426.33462,55043.025,54577.89038,54841.74808,54454.49808,55244.50577
X-n106-k14,CARI,50,3,53197.48462,52068.50577,52610.075,53385.31154,52824.33462,52815.10769,52999.55769,52995.13846,53132.98462,52897.375,52980.88654,52439.05577,53125.40577,52599.86154,52664.19038,53203.84231,53256.09423,54211.72692,52835.65577,53521.51154
X-n106-k14,CARI,50,4,51637.92692,50960.55962,51524.04615,51966.50192,51540.975,51477.7,51338.99423,51977.10962,51250.07115,51733.625,51849.85577,50828.01731,52311.14808,51629.04423,50967.92308,51766.21923,51764.28077,53300.13077,51938.6,51633.08077
X-n106-k14,CARI,50,5,50517.06346,49958.05,50515.30962,50298.53846,50004.80769,50546.51731,49822.58846,51001.05769,49906.5,50328.21923,50865.04423,50208.71731,51411.00577,50929.25192,49869.71154,50671.47115,49716.64038,51809.67885,50004.15962,50884.57308
X-n106-k14,CARI,50,6,49763.05,48873.30962,49750.07692,48598.86154,49549.18654,49408.71154,49160.34808,49393.69231,48807.82308,49625.76154,49704.24808,49106.14423,50598.28462,50208.88846,49265.20192,50368.63462,48865.96923,50765.41538,49216.00385,49979.14423
X-n106-k14,CARI,50,7,48315.03269,48157,48806.32692,47679.79231,48820.62692,48529.09423,47998.97692,48444.83846,48261.92692,48328.3,48885.47115,47011.12115,48955.06154,49209.81538,48145.79231,49213.23462,48417.81154,50589.14231,47720.475,48894.63269
X-n106-k14,CARI,50,8,47592.69615,47701.55192,48780.25577,47002.2,47971.52308,48572.89038,47820.52115,47533.59231,47368.02115,47521.31731,47703.77308,46283.90192,48002.22115,48461.77885,47557.64615,48989.85577,48542.73462,49245.39423,46981.25577,47133.63269
X-n106-k14,CARI,50,9,46543.00577,47063.56731,47778.20962,46480.98269,46671.06923,47853.91731,46755.10577,47267.89423,46524.02308,46626.8,47288.34038,45357.94423,47352.78077,47776.04615,46988.19423,47694.70577,47686.97308,48103.74423,45473.71538,46536.875
X-n106-k14,CARI,50,10,45864.13077,46107.35962,46978.39423,45988.61923,46099.28654,47358.32885,46119.86346,46977.93462,46114.62885,45806.97692,46323.30385,45289.69038,45931.21731,47069.32308,46275.74231,47303.52885,47300.24231,47228.425,44693.84423,45601.45962
