Benchmark,type_konfig_parameter,Run,CARI,CA-NN,CA-KNN2,CA-KNN3,CA-KNN4,CA-KNN5,HNRI
X-n106-k14,untuned,1,32192.2,28154,28994.3,29633.8,30101.7,29162.2,28415.9
X-n106-k14,untuned,2,33282.8,28218.8,29083.5,29875.2,30764,30094,28393.5
X-n106-k14,untuned,3,33297.4,28201.8,29107.9,29676.7,30179.8,30161.8,28901.5
X-n106-k14,untuned,4,33104.2,28246,29401.8,29737.1,29930.9,30109,28715.7
X-n106-k14,untuned,5,34398.4,28188.4,28831.5,30105.7,30655.2,29709,28901.5
X-n106-k14,untuned,6,32469.2,27903,29127.3,29594.1,30109.4,31222.4,28330.8
X-n106-k14,untuned,7,33027.8,28442.5,29091.3,30079.9,30673.1,29918.5,28901.5
X-n106-k14,untuned,8,34114.3,28114.5,29479.3,29972.6,30204.6,30253.5,28900.5
X-n106-k14,untuned,9,33604.3,28205.8,29441,30103,31033.5,31063.1,28205.6
X-n106-k14,untuned,10,33125.4,28241,29229.8,29642.3,29500.1,29751.2,28446.6
X-n106-k14,untuned,11,33310.4,28174,28818.1,29165.4,30142,30090.4,28415.1
X-n106-k14,untuned,12,33339.1,28246.4,29234.3,30134.6,30563.3,30748.4,28234.3
X-n106-k14,untuned,13,31316.9,28284.7,29075.6,30051.7,30435.9,30992.7,28305.3
X-n106-k14,untuned,14,33118.8,27948.5,28940.4,29315.5,29948.4,30525.1,28901.5
X-n106-k14,untuned,15,34086.1,28152.5,29076.4,30001.7,30090.1,30065.9,28652.1
X-n106-k14,untuned,16,32824.3,28241.7,29011.5,29297.3,30132.9,30692.7,28841.8
X-n106-k14,untuned,17,33669,28167.9,28848.2,29163.7,30397.4,30388.9,28323.4
X-n106-k14,untuned,18,32822.2,28211.9,29227.3,29572.2,30530,31152.3,28672.1
X-n106-k14,untuned,19,34677,28178.8,29198.9,29773.7,29969.1,30705.8,28901.1
X-n106-k14,untuned,20,33382.6,28195.1,29146.6,29715.1,29929.7,30683.5,28901.5
X-n204-k19,untuned,1,38304.8,23598.4,26949.5,26525.5,31991.1,31468.3,24031.4
X-n204-k19,untuned,2,40113.1,24071.7,27520.3,26812.9,31065.1,31409,24679.1
X-n204-k19,untuned,3,38431.1,23720.8,27001.7,29815.5,29892.3,30476.7,24791.4
X-n204-k19,untuned,4,39150.6,23766.8,26124.6,28715.1,28668.6,31398.1,24791.4
X-n204-k19,untuned,5,40495.1,23857.5,26536.5,29704.8,28253.7,29487.4,24791.4
X-n204-k19,untuned,6,40522.8,23654.9,25168.7,28964.7,30437.9,30470.3,23825.1
X-n204-k19,untuned,7,38703.9,23877.3,27463.6,29156.3,30352,34222.2,23919.1
X-n204-k19,untuned,8,39045.8,23672,26454.8,28544.2,31737.8,31967.8,24791.4
X-n204-k19,untuned,9,44336.1,24063.4,27237.5,29385.2,30855.6,34541.7,23811.5
X-n204-k19,untuned,10,41675.2,23572.8,26893,30070.8,29434.5,31636.2,23792
X-n204-k19,untuned,11,37932.3,23760.4,26820.2,28471.4,32624.9,30539.4,24791.4
X-n204-k19,untuned,12,36951.8,23477.8,26029.3,29776.1,32066.7,33020.2,24081.9
X-n204-k19,untuned,13,41589.9,23823.9,26478.4,28511.5,30966.4,32960.6,23972.2
X-n204-k19,untuned,14,41704.7,23777.3,26768.2,29441.5,30864.5,30850.2,24791.4
X-n204-k19,untuned,15,42039.8,23939,25594.9,29621.1,29966.3,31368.8,23857.5
X-n204-k19,untuned,16,38708.4,24137.4,26756.7,29821.4,31756.2,31067.6,23829.9
X-n204-k19,untuned,17,37796.6,23546.1,27360.7,28632.2,31634,31658.4,24791.4
X-n204-k19,untuned,18,37418.1,23999.2,26122.9,29078.7,31043.2,32693.3,23974.9
X-n204-k19,untuned,19,39382.5,23626.4,25108.1,29543.9,31774.2,33380.9,24780.2
X-n204-k19,untuned,20,40626.6,24063.4,26300.8,29133,29753.8,32928.8,23866.4
X-n308-k13,untuned,1,69657.6,34110.2,38475.4,39012.9,42295.5,42844.9,34867.3
X-n308-k13,untuned,2,63569.7,34121.4,36871.1,39983.2,40058.6,41560.3,33755.2
X-n308-k13,untuned,3,57123.8,34867.3,36170.4,40529.1,40230.8,43334.1,33146.2
X-n308-k13,untuned,4,51776.3,33422.7,37900.5,39005.8,41723.3,41878,32994.4
X-n308-k13,untuned,5,63545.3,32809.2,36051.4,42024.9,40523.4,41813.8,34770.5
X-n308-k13,untuned,6,70155,33717.4,37756.7,39688.2,40857.9,43203,35795.8
X-n308-k13,untuned,7,62941.4,34912.8,36234.5,39673.1,40859.5,44672,33487.9
X-n308-k13,untuned,8,57060.7,35460.8,37665.3,41402.1,41004.2,42698.3,34083.4
X-n308-k13,untuned,9,71300.8,34560.8,37641.2,40125.8,39638.2,41514,32319.9
X-n308-k13,untuned,10,60424.7,32864.7,38001.9,40608.5,42995.2,41239.9,34284.5
X-n308-k13,untuned,11,56218.6,34678.8,37945.4,36955.7,41606.5,40569.1,33754.9
X-n308-k13,untuned,12,67565.6,34867.3,37066.3,37672.5,39756.7,43844.5,33886.9
X-n308-k13,untuned,13,61865.1,34882,37914,38899.6,40529.4,42598.4,34289.2
X-n308-k13,untuned,14,67092.4,34706.7,36673.8,39278.4,41761.9,42070,34691.7
X-n308-k13,untuned,15,66153,34139,36960.9,40241,41482.4,43531.1,35795.8
X-n308-k13,untuned,16,68494.7,34656.3,37134.4,39616.8,40779.9,42403.1,33948.2
X-n308-k13,untuned,17,61462.5,33334.1,36797.1,39932.6,41850.8,46305.6,35795.8
X-n308-k13,untuned,18,60832.1,34867.3,36967.3,41884.5,40228,42987.1,35795.8
X-n308-k13,untuned,19,60970.7,33140.9,37518.9,39273.3,43536.7,42469.7,35795.8
X-n308-k13,untuned,20,58221.7,33248.2,37789.9,38713.3,43231.9,42742.5,34977.8
X-n376-k94,untuned,1,264528,150622,153762,155380,159159,161163,150642
X-n376-k94,untuned,2,260124,150570,153697,156348,158583,160837,150642
X-n376-k94,untuned,3,256525,150606,153756,156553,159004,160703,150642
X-n376-k94,untuned,4,263849,150607,153959,156406,158858,161722,150642
X-n376-k94,untuned,5,259124,150542,154078,156323,159106,161287,150642
X-n376-k94,untuned,6,260964,150567,153689,156716,159101,161482,150642
X-n376-k94,untuned,7,256200,150605,154031,156160,159367,161251,150642
X-n376-k94,untuned,8,249581,150608,153536,156862,158983,161150,150642
X-n376-k94,untuned,9,258190,150606,153606,156652,158749,161627,150642
X-n376-k94,untuned,10,258148,150572,153853,156587,158943,160711,150642
X-n376-k94,untuned,11,256815,150609,153806,157079,159245,160697,150604
X-n376-k94,untuned,12,253966,150622,153767,156481,159034,160601,150642
X-n376-k94,untuned,13,254991,150599,153720,156658,159005,161417,150642
X-n376-k94,untuned,14,251390,150610,153954,155897,159180,161568,150642
X-n376-k94,untuned,15,250884,150617,153590,156221,158960,161942,150642
X-n376-k94,untuned,16,261430,150551,153916,156441,158221,160354,150642
X-n376-k94,untuned,17,243865,150604,153361,156422,158105,161087,150623
X-n376-k94,untuned,18,254681,150639,153491,156524,158571,160339,150642
X-n376-k94,untuned,19,259651,150572,153735,156195,159015,161027,150642
X-n376-k94,untuned,20,273779,150622,153784,156595,159508,161678,150642
X-n502-k39,untuned,1,100922,72081.1,74100.6,76189.2,78741.1,79639.1,72081.1
X-n502-k39,untuned,2,101176,72081.1,74316.2,76862.1,77976.9,79741.8,72081.1
X-n502-k39,untuned,3,98941.1,72081.1,74296.3,76721.4,78752.9,80629.3,72081.1
X-n502-k39,untuned,4,101632,72081.1,74206.4,76796.4,79205.8,80415,72081.1
X-n502-k39,untuned,5,99222.3,72081.1,74540.8,76513.6,78826,81164.4,72081.1
X-n502-k39,untuned,6,99501.1,72081.1,73962.4,76525.5,78824.8,80701.9,72081.1
X-n502-k39,untuned,7,99861.3,72081.1,74285.1,76346,78168.7,80437.7,72081.1
X-n502-k39,untuned,8,100871,72081.1,74786.6,76896.5,78391,80667,72081.1
X-n502-k39,untuned,9,103104,72081.1,74251.7,76938.7,78757.6,80699.4,72081.1
X-n502-k39,untuned,10,100753,72081.1,74428.8,76579.6,78548.6,79211.3,72081.1
X-n502-k39,untuned,11,100148,72081.1,74276,76079.6,78806.9,80052,72081.1
X-n502-k39,untuned,12,100404,72081.1,74480.1,76828.9,77935.8,79732,72081.1
X-n502-k39,untuned,13,97877.3,72079.6,74363,76849.1,78798.6,80902.8,72081.1
X-n502-k39,untuned,14,101733,72081.1,74566.5,76838.8,78663.3,81168.3,72081.1
X-n502-k39,untuned,15,97903.9,72081.1,74460,76644.4,78867.5,80616.9,72081.1
X-n502-k39,untuned,16,102518,72081.1,74568.9,77016.8,78922.4,80551.7,72081.1
X-n502-k39,untuned,17,100097,72081.1,74568.1,77103.5,78685.3,80876.5,72081.1
X-n502-k39,untuned,18,100009,72020,74569.6,76797,78411.8,80511.9,72081.1
X-n502-k39,untuned,19,100715,72081.1,74080.9,76957.5,78943.4,80684,72081.1
X-n502-k39,untuned,20,102499,71898.9,74034.5,76753.2,79342.8,80403.3,72081.1
X-n655-k131,untuned,1,224040,109877,111085,113780,115741,117694,109891
X-n655-k131,untuned,2,232752,109869,111355,113900,116008,117383,109877
X-n655-k131,untuned,3,213014,109858,111694,114017,115848,117398,109891
X-n655-k131,untuned,4,220765,109860,111520,113797,114562,117240,109887
X-n655-k131,untuned,5,223995,109856,111625,113688,115492,116964,109878
X-n655-k131,untuned,6,235640,109867,111521,113912,115517,117513,109891
X-n655-k131,untuned,7,221481,109862,111795,113618,115212,117222,109891
X-n655-k131,untuned,8,225851,109840,111421,113799,115903,117969,109891
X-n655-k131,untuned,9,228562,109863,111652,114077,115527,117395,109891
X-n655-k131,untuned,10,224155,109865,111831,114389,115225,115757,109891
X-n655-k131,untuned,11,231949,109846,111704,113358,115081,117473,109891
X-n655-k131,untuned,12,221597,109864,111899,113546,115436,117995,109891
X-n655-k131,untuned,13,231039,109869,112169,113429,115512,117355,109891
X-n655-k131,untuned,14,225309,109869,111772,114161,115847,117547,109891
X-n655-k131,untuned,15,235555,109864,111186,114161,115842,117591,109891
X-n655-k131,untuned,16,231838,109865,110746,113174,115732,117390,109891
X-n655-k131,untuned,17,220789,109876,111049,113585,115395,117682,109875
X-n655-k131,untuned,18,228576,109862,111815,113622,115575,117964,109891
X-n655-k131,untuned,19,234070,109853,111621,113703,115471,117000,109891
X-n655-k131,untuned,20,231604,109863,111557,114402,116251,117425,109891
X-n801-k40,untuned,1,182132,80138,86817.8,91736.3,96362.2,100813,80138
X-n801-k40,untuned,2,185748,80138,86175.7,92315.8,96792.1,101973,80138
X-n801-k40,untuned,3,183056,80138,86093.4,91686.6,96234.7,100811,80138
X-n801-k40,untuned,4,181555,80138,86060.8,92356.6,95372.8,101389,80138
X-n801-k40,untuned,5,184581,80138,85907.8,91865.5,96240.3,101157,80138
X-n801-k40,untuned,6,186498,80138,86439.9,91427.6,96678.4,101156,80138
X-n801-k40,untuned,7,188117,80138,86340.1,91543.9,97176.5,101943,80138
X-n801-k40,untuned,8,182009,80138,86928.7,92509.5,96680.2,100896,80138
X-n801-k40,untuned,9,184697,80138,86259.2,92192.3,96917.9,101296,80138
X-n801-k40,untuned,10,188276,80138,86720.1,92397.6,96152.5,101121,80138
X-n801-k40,untuned,11,181353,80138,86574.2,91814.8,96720.4,99496,80138
X-n801-k40,untuned,12,178644,80138,86208.8,91333.7,96084.6,100990,80138
X-n801-k40,untuned,13,183500,80138,87080.3,92076,96510.9,101036,80138
X-n801-k40,untuned,14,181263,80138,87013.9,92196.1,96702,101187,80138
X-n801-k40,untuned,15,183318,80138,86358.5,91965.7,96615,100249,80138
X-n801-k40,untuned,16,181179,80138,85986.3,91817.4,97028.7,100483,80138
X-n801-k40,untuned,17,182806,80138,86308.8,91702,96601.2,101387,80138
X-n801-k40,untuned,18,180737,80138,86771.7,92102,96171.6,101809,80138
X-n801-k40,untuned,19,185850,80138,86866.2,91495.1,95651.5,101685,80138
X-n801-k40,untuned,20,184315,80138,86534.4,91930.3,96913.4,101677,80138
X-n876-k59,untuned,1,326052,120721,125092,128301,132472,132909,120832
X-n876-k59,untuned,2,335566,119760,124504,127701,133705,134890,120522
X-n876-k59,untuned,3,325479,119390,123816,127121,132181,137103,121285
X-n876-k59,untuned,4,311642,119415,124004,129648,132179,135133,121285
X-n876-k59,untuned,5,355219,120272,123344,129125,133530,134698,121285
X-n876-k59,untuned,6,308375,120116,122850,127815,130521,135936,121285
X-n876-k59,untuned,7,331466,120658,123565,127910,130219,135111,118505
X-n876-k59,untuned,8,327159,120811,122396,125969,131959,132891,119009
X-n876-k59,untuned,9,331639,120285,122723,128459,133019,136298,120397
X-n876-k59,untuned,10,306066,120259,124741,128629,129814,136170,121285
X-n876-k59,untuned,11,310519,119134,122229,125523,131623,136140,119928
X-n876-k59,untuned,12,315359,119971,124701,128417,133028,135925,121247
X-n876-k59,untuned,13,316812,120012,122976,128174,132435,137109,121285
X-n876-k59,untuned,14,330957,119619,123593,127490,129558,135326,121285
X-n876-k59,untuned,15,347944,119618,120782,125564,133951,135676,120431
X-n876-k59,untuned,16,328232,119691,120785,126192,134628,132284,119390
X-n876-k59,untuned,17,346304,120721,125434,126121,131097,134302,119958
X-n876-k59,untuned,18,320055,120721,124471,127527,133132,136651,119838
X-n876-k59,untuned,19,328233,120721,124627,129249,130773,135899,120722
X-n876-k59,untuned,20,330547,120378,124007,127536,129745,135052,119922
X-n957-k87,untuned,1,357143,92444.9,97720.6,103248,107435,102260,92444.9
X-n957-k87,untuned,2,355329,92444.9,98001.3,103117,107188,103601,92444.9
X-n957-k87,untuned,3,336309,92444.9,98335.4,101957,107492,102752,92444.9
X-n957-k87,untuned,4,350773,92444.9,98614.1,103351,107956,101917,92444.9
X-n957-k87,untuned,5,328744,92444.9,97746.5,102564,108086,103143,92444.9
X-n957-k87,untuned,6,348854,92444.9,97937.9,103453,107986,103839,92444.9
X-n957-k87,untuned,7,359827,92444.9,98419.4,103254,106329,102862,92444.9
X-n957-k87,untuned,8,338126,92444.9,98151.3,103230,107708,102787,92444.9
X-n957-k87,untuned,9,356654,92444.9,98275.5,102383,107822,102252,92444.9
